map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
train_004,20,0,4,3,66,182,18,20,3,3,-3.0,-0.42000000000000004,-3.0,0.48,-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
train_004,21,0,3,3,67,186,16,21,2,4,-3.0,-0.42000000000000004,0.48,0.48,10.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0
train_004,22,1,3,2,67,186,16,22,3,4,-0.42000000000000004,-3.0,-3.0,0.48,10.0,-1,-1,-1,-1,-1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,1
train_004,23,1,2,3,67,186,16,23,3,3,0.48,-0.42000000000000004,-3.0,10.48,10.0,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,0
train_005,0,14,0,4,8,20,3,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_005,1,13,0,0,11,28,4,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
train_005,2,12,0,0,13,34,4,2,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0
train_005,3,11,0,0,16,42,5,3,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,0,0
train_005,4,11,1,1,19,48,6,4,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,1
train_005,5,11,2,1,22,56,6,5,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
train_005,6,11,3,1,26,64,10,6,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
train_005,7,11,4,1,31,80,11,7,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
train_005,8,10,4,0,35,92,11,8,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
train_005,9,10,5,1,38,102,9,9,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_005,10,9,5,0,42,114,10,10,1,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_005,11,9,6,1,44,118,11,11,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
train_005,12,9,7,1,48,128,14,12,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
