map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
unseen_003,16,4,6,1,63,158,18,16,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unseen_003,17,4,7,1,67,168,18,17,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
unseen_003,18,4,8,1,69,174,17,18,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
unseen_003,19,4,9,1,73,180,19,19,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
unseen_003,20,4,10,1,77,190,20,20,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
unseen_003,21,4,11,1,80,196,22,21,1,4,-3.0,0.48,0.48,-0.42000000000000004,10.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1
unseen_003,22,4,12,1,84,208,20,22,1,1,0.48,10.48,-3.0,-0.42000000000000004,10.0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1
unseen_004,0,14,0,4,7,14,4,0,0,4,0.48,-3.0,-3.0,-3.0,10.0,-1,-1,1,2,0,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_004,1,13,0,0,9,20,5,1,1,4,-3.0,0.48,-0.42000000000000004,-3.0,10.0,-1,-1,1,0,0,-1,-1,1,2,0,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,-1,-1,-1
unseen_004,2,13,1,1,12,28,5,2,0,0,10.48,0.48,-3.0,-0.42000000000000004,10.0,-1,1,0,0,0,-1,1,2,0,0,-1,0,0,0,1,-1,0,1,0,0,-1,-1,-1,-1,-1
unseen_005,0,14,0,4,9,24,4,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_005,1,13,0,0,10,26,4,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
unseen_005,2,12,0,0,12,30,6,2,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
unseen_005,3,12,1,1,17,46,8,3,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,1,0,0,0,-1,1,0,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0
unseen_005,4,12,2,1,22,64,5,4,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unseen_005,5,12,3,1,24,70,4,5,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
unseen_005,6,12,4,1,28,76,8,6,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
unseen_005,7,12,5,1,33,92,9,7,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
unseen_005,8,12,6,1,37,106,8,8,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
unseen_005,9,11,6,0,40,116,8,9,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
unseen_005,10,10,6,0,44,128,9,10,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
unseen_005,11,9,6,0,49,144,11,11,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
unseen_005,12,8,6,0,53,156,12,12,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
unseen_005,13,7,6,0,57,168,14,13,3,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
unseen_005,14,7,5,3,61,178,13,14,0,0,0.48,-0.42000000000000004,0.48,0.48,-0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
unseen_005,15,6,5,0,66,194,16,15,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
unseen_005,16,5,5,0,71,212,16,16,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
unseen_005,17,4,5,0,76,230,17,17,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
unseen_005,18,3,5,0,81,248,18,18,0,4,0.48,0.48,-0.42000000000000004,0.48,10.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
unseen_005,19,2,5,0,86,266,14,19,0,4,0.48,0.48,-0.42000000000000004,0.48,10.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unseen_005,20,1,5,0,86,266,14,20,3,3,0.48,0.48,-0.42000000000000004,10.48,10.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
unseen_006,0,14,0,4,7,12,5,0,0,0,0.48,-3.0,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_006,1,13,0,0,9,18,5,1,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0,-1,-1,-1,-1,-1
unseen_006,2,12,0,0,12,26,7,2,1,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0
unseen_006,3,12,1,1,17,42,8,3,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,-1,0,1,0,0,-1,0,1,0,0
unseen_006,4,12,2,1,21,54,7,4,1,4,-3.0,0.48,0.48,-0.42000000000000004,10.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
unseen_006,5,12,3,1,24,60,8,5,1,1,0.48,10.48,0.48,-0.42000000000000004,10.0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0
unseen_007,0,14,0,4,7,16,2,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,1,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_007,1,13,0,0,9,18,3,1,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,1,-1,-1,1,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
unseen_007,2,13,1,1,12,24,4,2,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,-1,0,0,1,0,-1,1,1,0,1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1
unseen_007,3,13,2,1,15,32,5,3,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
unseen_007,4,13,3,1,19,44,7,4,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
unseen_007,5,13,4,1,23,58,8,5,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
unseen_007,6,12,4,0,28,72,10,6,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unseen_007,7,12,5,1,33,90,11,7,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unseen_007,8,11,5,0,36,98,12,8,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
unseen_007,9,10,5,0,40,110,10,9,3,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
unseen_007,10,10,4,3,42,114,11,10,3,0,0.48,-0.42000000000000004,-3.0,0.48,-0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
