timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778045466.608957,-2.000988,-1.999999,2.000000,2.000000,0.707194,0.707019,5.657553,0.667995,0.190846,0.010687,0.412977,0.146110,1.000000,0.138195,2
1778045466.808885,-2.000995,-1.999999,2.000000,2.000000,0.707195,0.707019,5.657557,0.668679,0.190843,0.010859,0.419422,0.147084,1.000000,0.136979,2
1778045467.008926,-2.001001,-1.999999,2.000000,2.000000,0.707195,0.707018,5.657562,0.668694,0.190843,0.010674,0.412164,0.147458,1.000000,0.138749,2
1778045467.209099,-2.001007,-1.999999,2.000000,2.000000,0.707196,0.707018,5.657566,0.668668,0.190843,0.010794,0.418495,0.144337,1.000000,0.137002,2
1778045467.408916,-2.001013,-1.999999,2.000000,2.000000,0.707196,0.707017,5.657570,0.667977,0.190843,0.010648,0.414425,0.144632,1.000000,0.136914,2
1778045467.609109,-2.001020,-1.999999,2.000000,2.000000,0.707197,0.707017,5.657575,0.667990,0.190843,0.010723,0.416038,0.147029,1.000000,0.135997,2
1778045467.809144,-2.001026,-1.999999,2.000000,2.000000,0.707198,0.707016,5.657579,0.668014,0.190846,0.010615,0.416753,0.146399,1.000000,0.137731,2
1778045468.009076,-2.001033,-1.999999,2.000000,2.000000,0.707198,0.707015,5.657584,0.668011,0.190846,0.010703,0.416439,0.142532,1.000000,0.138669,2
1778045468.211814,-2.001039,-1.999999,2.000000,2.000000,0.707199,0.707015,5.657588,0.667982,0.190843,0.010824,0.412358,0.140612,1.000000,0.138736,2
1778045468.409019,-2.001046,-1.999999,2.000000,2.000000,0.707199,0.707014,5.657593,0.668002,0.190846,0.010706,0.414953,0.143201,1.000000,0.139168,2
1778045468.609022,-2.001052,-1.999999,2.000000,2.000000,0.707200,0.707014,5.657598,0.668684,0.190840,0.010827,0.414686,0.142400,1.000000,0.139599,2
1778045468.808993,-2.001058,-1.999999,2.000000,2.000000,0.707200,0.707013,5.657602,0.668678,0.190846,0.010729,0.415632,0.144165,1.000000,0.137026,2
1778045469.013875,-2.001064,-1.999999,2.000000,2.000000,0.707201,0.707013,5.657607,0.667996,0.190840,0.010664,0.412176,0.145629,1.000000,0.135982,2
1778045469.209018,-2.001071,-1.999999,2.000000,2.000000,0.707202,0.707012,5.657611,0.668218,0.190853,0.010719,0.416366,0.146298,1.000000,0.139601,2
1778045469.409023,-2.001077,-1.999999,2.000000,2.000000,0.707202,0.707011,5.657616,0.668688,0.190840,0.010723,0.412382,0.146216,1.000000,0.140897,2
1778045469.609168,-2.001084,-1.999999,2.000000,2.000000,0.707203,0.707011,5.657620,0.667995,0.190846,0.010664,0.414314,0.144268,1.000000,0.139988,2
1778045469.808972,-2.001091,-1.999999,2.000000,2.000000,0.707203,0.707010,5.657625,0.668699,0.190837,0.010736,0.419904,0.145287,1.000000,0.135467,2
1778045470.008970,-2.001097,-1.999999,2.000000,2.000000,0.707204,0.707010,5.657629,0.668013,0.190850,0.010765,0.413965,0.142265,1.000000,0.136902,2
1778045470.208953,-2.001103,-1.999999,2.000000,2.000000,0.707204,0.707009,5.657634,0.668673,0.190846,0.010752,0.418580,0.144738,1.000000,0.138993,2
1778045470.409007,-2.001109,-1.999999,2.000000,2.000000,0.707205,0.707009,5.657638,0.667992,0.190846,0.010674,0.414440,0.145293,1.000000,0.138204,2
1778045470.608990,-2.001115,-1.999999,2.000000,2.000000,0.707205,0.707008,5.657642,0.667979,0.190850,0.010775,0.420102,0.141943,1.000000,0.139988,2
1778045470.809062,-2.001122,-1.999999,2.000000,2.000000,0.707206,0.707008,5.657647,0.668019,0.190846,0.010801,0.416594,0.143363,1.000000,0.139667,2
1778045471.009013,-2.001128,-1.999999,2.000000,2.000000,0.707207,0.707007,5.657651,0.667991,0.190843,0.010710,0.415132,0.143143,1.000000,0.137941,2
1778045471.209010,-2.001135,-1.999999,2.000000,2.000000,0.707207,0.707006,5.657656,0.667986,0.190850,0.010635,0.421411,0.146321,1.000000,0.137126,2
1778045471.409025,-2.001141,-1.999999,2.000000,2.000000,0.707208,0.707006,5.657660,0.668670,0.190843,0.010758,0.418744,0.143049,1.000000,0.139495,2
1778045471.609091,-2.001148,-1.999999,2.000000,2.000000,0.707208,0.707005,5.657665,0.667990,0.190850,0.010687,0.415935,0.144551,1.000000,0.138207,2
1778045471.809099,-2.001154,-1.999999,2.000000,2.000000,0.707209,0.707005,5.657670,0.668658,0.190843,0.010814,0.416409,0.140693,1.000000,0.138046,2
1778045472.013345,-2.001161,-1.999999,2.000000,2.000000,0.707209,0.707004,5.657674,0.668002,0.190846,0.010713,0.415310,0.145880,1.000000,0.137128,2
