timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778052190.070503,-0.019454,-2.459018,2.000000,2.000000,0.834634,0.550805,4.895001,0.608236,0.283610,0.014196,0.670100,0.048517,1.000000,0.048517,2
1778052190.264250,-0.020444,-2.458855,2.000000,2.000000,0.790884,0.611965,4.895261,0.646973,0.229886,0.014964,0.643316,0.044122,1.000000,0.044122,2
1778052190.464247,-0.022808,-2.455145,2.000000,2.000000,0.805210,0.592990,4.892859,0.642209,0.236520,0.014798,0.644844,0.223019,1.000000,0.050885,2
1778052190.664329,-0.023258,-2.454600,2.000000,2.000000,0.869310,0.494266,4.892550,0.605446,0.287389,0.014183,0.281444,0.223397,1.000000,0.223397,2
1778052190.864254,-0.023088,-2.454488,2.000000,2.000000,0.917758,0.397140,4.892376,0.542314,0.375026,0.013073,0.258852,0.225451,1.000000,0.047633,2
1778052191.064758,-0.021271,-2.454544,2.000000,2.000000,0.944629,0.328139,4.891676,0.500499,0.433112,0.011608,0.250977,0.226734,1.000000,0.226734,2
1778052191.264543,-0.017490,-2.458193,2.000000,2.000000,0.932370,0.361505,4.893439,0.496474,0.438490,0.011507,0.251689,0.226979,1.000000,0.226979,2
1778052191.464554,-0.017681,-2.458606,2.000000,2.000000,0.882148,0.470972,4.893895,0.536452,0.383226,0.012975,0.266421,0.045236,1.000000,0.045236,2
1778052191.664237,-0.017813,-2.458666,2.000000,2.000000,0.826137,0.563470,4.894003,0.610184,0.280898,0.014395,0.674824,0.039387,1.000000,0.039387,2
1778052191.864289,-0.019196,-2.458950,2.000000,2.000000,0.784894,0.619631,4.894833,0.651482,0.223701,0.014473,0.639652,0.224300,1.000000,0.224300,2
1778052192.064466,-0.021933,-2.455842,2.000000,2.000000,0.792013,0.610505,4.893132,0.651835,0.223226,0.014456,0.638915,0.224290,1.000000,0.048774,2
1778052192.264338,-0.023163,-2.455097,2.000000,2.000000,0.854152,0.520024,4.892962,0.615261,0.273822,0.014268,0.676667,0.222160,1.000000,0.038748,2
1778052192.464455,-0.023018,-2.455147,2.000000,2.000000,0.905450,0.424453,4.892948,0.558508,0.352549,0.013288,0.263010,0.223878,1.000000,0.223878,2
